film_id,film_name,duration,category,language,year,rating
1203575,The Balcony,84,drama,English,1963,NR
233484,Ball of Fire,111,comedy,English,1941,NR
1203576,Ballad of a Soldier,89,drama,English,1959,NR
19745304,Bullet to the Head,93,mystery & suspense,English,2012,R
233484,Ball of Fire,111,comedy,English,1941,NR
18748202,Balseros,120,documentary,English,2002,NR
1211889,Please Mr. Balzac,99,comedy,English,1956,NR
1226350,Bambi,70,drama,English,1942,G
24982,The Band Wagon,112,musical,English,1953,NR
54929,Bang the Drum Slowly,97,drama,English,1973,PG
30683,Banjo on My Knee,95,comedy-drama,English,1936,NR
1203588,Banning,102,drama,English,1967,NR
18697910,Baptism of Fire,51,documentary,English,1940,NR
4028244,The Barbarian Invasions,122,comedy-drama,English,2003,R
56033,Barbary Coast,91,drama,English,1935,NR
21476089,Before the Memories Fade: Voices From the Civil,0,documentary,English,2012,NR
24951,The Barefoot Contessa,128,drama,English,1954,NR
16690,Barefoot in the Park,104,comedy,English,1967,G
3623218,Clive Barker Presents Saint Sinner,120,sci-fi,English,2002,NR
81597,The Barkleys of Broadway,109,musical,English,1949,NR
17296636,Barney's Version,132,comedy-drama,English,2010,R
306016,The Barretts of Wimpole Street,110,drama,English,1934,NR
32136,Barry Lyndon,184,drama,English,1975,PG
30051,Barton Fink,116,drama,English,1991,R
1226933,Basic Instinct,150,crime drama,English,1992,NR
4890999,Batman Begins,140,action/adventure,English,2005,PG-13
4890999,Batman Begins,140,action/adventure,English,2005,PG-13
8042,Batman Forever,121,action/adventure,English,1995,PG-13
415397,Batman Returns,125,action/adventure,English,1991,PG-13
1201959,Battle Cry,147,drama,English,1955,NR
1203605,The Battle of Algiers,117,drama,English,1966,NR
22885286,Beast of the Bering Sea,120,sci-fi,English,2013,NR
18735201,Battle of Gettysburg,55,other,English,1914,NR
1229975,"Midway, conc.",120,drama,English,1976,PG
1200639,The Battle of Neretva,106,drama,English,1969,G
1200250,The Battle of Russia,82,documentary,English,1943,NR
1230554,The Battle of the Bulge: The Brave Rifles,52,documentary,English,1966,NR
27503,Citizen Kane,119,drama,English,1941,NR
263667,Battleground,118,action/adventure,English,1949,NR
1200648,Beach Red,105,drama,English,1967,NR
1201974,Beaches,150,comedy-drama,English,1988,PG-13
18765566,The Mad Game,73,crime drama,English,1933,NR
21559405,Vic et Flo ont vu un ours,96,drama,English,2013,NR
21771131,August: Osage County,121,comedy-drama,English,2013,R
20131626,Beasts of the Southern Wild,92,drama,English,2012,PG-13
171617,Beau Geste,114,action/adventure,English,1939,NR
7540054,Beaufort,130,drama,English,2007,NR
3528116,A Beautiful Mind,136,drama,English,2001,PG-13
18725976,Beauty and the Beach,53,other,English,,NR
1231128,Beauty and the Beast,85,musical,English,1991,G
18777871,Beauty and the Bull,0,documentary,English,1954,NR
86367,Because You're Mine,103,musical,English,1952,NR
1203648,Becket,148,drama,English,1964,PG-13
1237185,Becky Sharp,83,drama,English,1935,NR
1243674,Bedknobs and Broomsticks,140,fantasy,English,1971,G
7280186,Bee Movie,82,comedy,English,2007,PG
406806,Beethoven's 2nd,89,comedy,English,1993,PG
57517,Beetlejuice,92,comedy,English,1988,PG
3085324,Before Night Falls,130,drama,English,2000,R
4220183,Before Sunset,80,drama,English,2004,R
20333593,Beware of Mr. Baker,100,documentary,English,2012,NR
1320441,Before the Rain,112,drama,English,1994,NR
17664937,Beginners,104,comedy-drama,English,2010,R
1200295,Behind the News,75,drama,English,1940,NR
2512627,Being John Malkovich,113,comedy,English,1999,R
4325399,Being Julia,105,drama,English,2004,R
22097,Being there,130,comedy-drama,English,1979,PG
9034,"Bell, Book and Candle",106,comedy,English,1958,NR
15706863,Belle Epoque,104,comedy-drama,English,1992,R
41515,Belle of the Yukon,83,musical,English,1944,NR
1200789,Bells Are Ringing,126,musical,English,1960,NR
57571,The Bells of St. Mary's,126,comedy-drama,English,1945,NR
513057,Beloved,172,drama,English,1998,R
1233625,Ben-Hur,0,drama,English,1959,NR
1233625,Ben-Hur,0,drama,English,1959,NR
192805,Beneath the 12-mile Reef,102,action/adventure,English,1953,NR
1221746,Benji,86,action/adventure,English,1974,G
1221746,Benji,86,action/adventure,English,1974,G
8904934,Milk,128,drama,English,2008,R
1220807,Berkeley in the Sixties,117,documentary,English,1990,NR
1204056,Berkeley Square,87,drama,English,1933,NR
1202027,The Bespoke Overcoat,33,drama,English,1955,NR
307576,Best Boy,104,documentary,English,1979,NR
58510,Best Friends,116,comedy,English,1982,PG
1202029,The Best Little Whorehouse in Texas,114,musical,English,1982,R
21248759,The Best Man Holiday,120,comedy,English,2013,R
1200799,The Best of Everything,122,drama,English,1959,NR
14006,The Best Things in Life Are Free,104,musical,English,1956,NR
309918,The Best Years of Our Lives,172,drama,English,1946,NR
1204067,Betrayal,99,drama,English,1978,NR
22821665,The Betrayal - Nerakhoon,105,documentary,English,2008,NR
10505660,A Better Life,98,drama,English,2011,PG-13
18985159,Betty Blue,185,comedy-drama,English,1986,NR
30189,Between Heaven and Hell,94,drama,English,1956,NR
60621,Between the Lines,101,comedy-drama,English,1977,R
60679,Beverly Hills Cop,105,action/adventure,English,1984,R
1200806,Beverly Hills Cop II,102,comedy,English,1987,R
20917956,Beyond Outrage,110,crime drama,English,2012,R
522895,Beyond Silence,107,drama,English,1996,PG-13
522895,Beyond Silence,107,drama,English,1996,PG-13
1200328,Beyond the Forest,95,drama,English,1949,NR
18790256,Beyond the Line of Duty,22,,English,1942,NR
1200818,Beyond the Walls,103,drama,English,1985,R
2728456,The Bible,174,drama,English,1966,NR
2481969,Bicentennial Man,130,fantasy,English,1999,PG
1202050,The Bicycle Thief,85,drama,English,1948,NR
298823,Big,102,comedy,English,1988,PG
1200338,The Big Broadcast of 1936,97,musical,English,1935,NR
1202056,The Big Carnival,112,drama,English,1951,NR
35859,The Big Chill,103,comedy-drama,English,1983,R
1202059,Big City Blues,65,drama,English,1932,NR
515315,The Big Country,166,western,English,1958,NR
4059087,Big Fish,125,drama,English,2003,PG-13
1202062,The Big Fisherman,180,drama,English,1959,G
225481,The Big House,84,crime drama,English,1930,NR
1202051,Big Bad Mama,87,comedy-drama,English,1974,R
1202070,The Big Pond,78,comedy,English,1930,NR
61908,The Big Sky,140,action/adventure,English,1952,NR
275043,The Big Hit,92,other,English,1998,R
1229405,Big Dreams & Broken Hearts: The Dottie West Story,120,drama,English,1995,NR
61984,Bill and Coo,61,fantasy,English,1947,NR
8148,Billy Budd,123,drama,English,1962,NR
3047168,Billy Elliot,105,drama,English,2000,R
1200851,Billy Rose's Jumbo,124,musical,English,1962,NR
32049,Billy the Kid,95,western,English,1930,NR
19167820,The Ides of March,100,drama,English,2011,R
15112159,Birch St Gym,0,other,English,1991,NR
43497,Bird,161,drama,English,1988,R
1240244,The Birdcage,117,comedy,English,1996,R
14864,Birdman of Alcatraz,147,drama,English,1962,NR
20959172,Jack Ryan: Shadow Recruit,105,action/adventure,English,2014,PG-13
21299589,Free Birds,91,comedy,English,2013,PG
21299589,Free Birds,91,comedy,English,2013,PG
2349,Birds Do It...Bees Do It...,0,documentary,English,1974,PG
236668,Birth of the Blues,80,musical,English,1941,NR
1202536,Bloody Birthday,85,horror,English,1981,R
662,The Bishop's Wife,105,comedy-drama,English,1947,NR
20141480,Smashed,85,comedy-drama,English,2012,R
56785,Bite the Bullet,131,western,English,1975,PG
19824662,Riso Amaro,108,drama,English,1949,NR
304682,Bitter Sweet,92,musical,English,1940,NR
18764054,Biutiful,148,drama,English,2009,R
1200379,Black and White in Color,100,comedy-drama,English,1977,PG
6142980,The Black Dahlia,122,crime drama,English,2006,R
1232077,Black Fox: The Price of Peace,120,western,English,1995,NR
52207,Black Fury,92,drama,English,1935,NR
3501651,Black Hawk Down,144,drama,English,2001,R
62179,The Black Hole,97,sci-fi,English,1979,PG
236354,Black Legion,83,drama,English,1937,NR
1200872,Black Narcissus,96,drama,English,1947,NR
1221749,Black Orpheus,103,drama,English,1958,NR
138767,Black Rain,150,crime drama,English,1989,R
21778407,Black Nativity,93,drama,English,2013,PG
8066,The Black Rose,120,action/adventure,English,1950,NR
225493,The Black Stallion,118,action/adventure,English,1979,G
251439,The Black Swan,85,action/adventure,English,1942,NR
17611768,Black Swan,108,drama,English,2010,R
126815,The Blackboard Jungle,100,drama,English,1955,NR
18791639,Blackfly,5,musical,English,1991,NR
1243115,The Horror of Blackwood Castle,92,mystery & suspense,English,1967,NR
2083233,Blade Runner: Director's Cut,117,sci-fi,English,2007,R
1204156,Blake of Scotland Yard,74,mystery & suspense,English,1936,NR
1220315,Blaze,119,drama,English,1989,R
18726928,Blaze Busters,0,other,English,1950,NR
1239595,Blazing Saddles,93,comedy,English,1974,NR
63092,Bless the Beasts and Children,109,drama,English,1971,PG
11074679,The blind side,128,drama,English,2009,PG-13
18784214,Blindscape,0,drama,English,1993,NR
63136,Blithe Spirit,96,comedy,English,1945,NR
21743062,The Wolf of Wall Street,179,biography,English,2013,R
1204169,Block-Heads,55,comedy,English,1938,NR
1200522,Blockade,85,drama,English,1938,NR
322034,Blood and Sand,123,drama,English,1941,NR
6208258,Blood Diamond,143,drama,English,2006,R
6712198,The Blood of Yingzhou District,40,documentary,English,2006,NR
8170669,All the Boys Love Mandy Lane,93,horror,English,2006,R
399318,Blood on the Sun,98,drama,English,1945,NR
18767904,Blood Ties: The Life and Work of Sally Mann,30,biography,English,1993,NR
1203986,A Father's Love,116,drama,English,1978,R
52217,Blossoms in the Dust,100,drama,English,1941,NR
1201502,Blow-Up,111,drama,English,1966,NR
18779828,The Blue Bird,81,fantasy,English,1918,NR
17743,The Blue Dahlia,96,mystery & suspense,English,1946,NR
18756748,Blue Grass Gentleman,0,,English,1944,NR
1224384,The Blue Lagoon,101,drama,English,1949,NR
1205064,Blue Skies,104,musical,English,1946,NR
199753,Blue Sky,101,drama,English,1994,PG-13
64890,Blue Thunder,108,action/adventure,English,1983,R
18873065,Blue Valentine,112,drama,English,2010,R
1201511,The Blue Veil,113,drama,English,1951,NR
248483,Blue Velvet,120,drama,English,1986,R
18791253,Blues Highway,0,documentary,English,1994,NR
126077,Blues in the Night,89,drama,English,1941,NR
18726466,Board and Care,27,drama,English,1979,NR
1202551,The Boat Is Full,101,drama,English,1981,PG
9311,Bob & Carol & Ted & Alice,104,comedy,English,1969,R
1202536,Bloody Birthday,85,horror,English,1981,R
39231,Body and Soul,104,drama,English,1947,NR
1233446,The Bodyguard,130,drama,English,1992,R
1202557,The Bold and the Brave,87,drama,English,1956,NR
1200967,Bolero,80,drama,English,1934,NR
18749465,Bolshoi Ballet '67,90,documentary,English,1966,NR
8904832,Bolt,96,comedy,English,2008,PG
18771874,Bombalera,0,musical,English,1944,NR
428834,Bombardier,97,drama,English,1943,NR
325945,Kansas City Bomber,99,drama,English,1972,PG
482134,Bon Voyage!,130,comedy,English,1962,NR
64939,Bonnie and Clyde,111,drama,English,1967,R
131289,Boogie Nights,156,comedy-drama,English,1997,R
18756312,Boogie Woogie Bugle Boy of Company B,0,other,English,1941,NR
52221,Boom Town,117,drama,English,1940,NR
19533,Boomerang,118,comedy,English,1992,R
6208486,Borat,85,comedy,English,2006,R
18747939,Bored of Education,0,comedy,English,1936,NR
25973,Born Free,95,drama,English,1966,PG
4416377,Born Into Brothels,85,documentary,English,2004,R
17870,Born on the Fourth of July,140,drama,English,1989,R
25772,Born to Dance,105,musical,English,1936,NR
66263,Born Yesterday,103,comedy,English,1950,NR
18734109,Friends With Benefits,109,comedy,English,2011,R
1201553,The Bostonians,120,drama,English,1984,NR
32145,Bound for Glory,147,biography,English,1976,PG
19577899,Boundin',4,other,English,2003,G
6963101,The Bourne Ultimatum,115,action/adventure,English,2007,PG-13
3901170,Bowling for Columbine,120,documentary,English,2002,R
8904996,The Box,116,horror,English,2009,PG-13
66362,A Boy and His Dog,87,sci-fi,English,1974,R
18710237,Boy and the Eagle,0,drama,English,1949,NR
1220075,The Boy Friend,135,musical,English,1971,G
1205486,A Boy Named Charlie Brown,85,comedy,English,1969,G
9314,Boy on a Dolphin,103,drama,English,1957,NR
2801392,Boys and Girls,94,comedy,English,2000,PG-13
2466287,Boys Don't Cry,118,drama,English,1999,R
355076,The Boys From Brazil,123,mystery & suspense,English,1978,R
1201006,The Boys from Syracuse,72,musical,English,1940,NR
1201666,The Boys of Paul Street,105,drama,English,1968,G
175947,Boys Town,96,biography,English,1938,NR
261224,Boyz N the Hood,112,drama,English,1991,R
339661,Bram Stoker's Dracula,128,horror,English,1992,R
19970437,Brave,93,fantasy,English,2012,PG
1119615,Brave Little Tailor,9,comedy,English,1938,NR
7092530,The Brave One,122,drama,English,2007,R
1239716,Braveheart,120,action/adventure,English,1995,R
21942356,A Field in England,90,horror,English,2013,NR
2392168,Brazil,142,comedy-drama,English,1985,NR
2392168,Brazil,142,comedy-drama,English,1985,NR
1202606,"Bread, Love and Dreams",90,comedy,English,1953,NR
14142,Breaker Morant,107,drama,English,1980,PG
223006,Breakfast at Tiffany's,115,comedy-drama,English,1960,NR
376644,Breaking Away,100,comedy-drama,English,1979,PG
19917429,The Twilight Saga: Breaking Dawn - Part 2,115,drama,English,2012,PG-13
1205506,Breaking the Ice,80,drama,English,1938,NR
18748320,Breaking the Language Barrier,0,documentary,English,1961,NR
1205508,Breaking the Sound Barrier,115,drama,English,1952,NR
121125,Breaking the Waves,153,drama,English,1996,R
4054171,The Fog Of War,107,documentary,English,2003,PG-13
18691322,Brewster's Millions,55,comedy,English,1920,NR
362474,Bride of Frankenstein,75,mystery & suspense,English,1935,NR
18734135,Bridesmaids,125,comedy,English,2011,R
6588505,The Bridge,93,documentary,English,2006,R
1202719,The Bridge of San Luis Rey,107,drama,English,1944,NR
1202719,The Bridge of San Luis Rey,107,drama,English,1944,NR
1241200,Bridge of Time,120,action/adventure,English,1997,NR
1201031,The Bridge on the River Kwai,155,action/adventure,English,1957,NR
530678,The Bridges at Toko-Ri,103,drama,English,1955,NR
8034,The Bridges Of Madison County,135,drama,English,1995,PG-13
3250694,Bridget Jones's Diary,97,comedy,English,2001,R
353592,Brief Encounter,86,drama,English,1946,NR
72256,Brigadoon,108,musical,English,1954,NR
10998842,Bright Star,119,drama,English,2009,PG
1202722,Bright Victory,97,drama,English,1951,NR
19560,The Brink's Job,118,comedy-drama,English,1978,PG
